name,officialWebsite,latitude,longitude
Mont Ti-Basse,http://www.ville.baie-comeau.qc.ca/en/living/leisure/activities/ski/,49.2893623841344,-68.1672477722168
Owl's Head,http://www.owlshead.com,45.075142,-72.295041
Montjoye (Mont Hatley),https://monthatley.com/accueil/activites-hivernales/,45.302529,-71.932362
Mont Grand Fonds,http://www.montgrandfonds.com,47.7712912765771,-70.103759765625
Sommet Saint-Sauveur,https://www.sommets.com/fr/montagne-de-ski/sommet-saint-sauveur/,45.884004,-74.15351
Mont-Sainte-Anne,http://www.mont-sainte-anne.com,47.086177956452,-70.92971450805663
Mont Cascades,http://www.montcascades.ca,45.592882,-75.849331
Parc du Mont-Comi,http://www.mont-comi.qc.ca,48.468094,-68.19516
Mont Sutton,http://www.montsutton.com,45.104657,-72.561696
Mont Orford,http://www.orford.com,45.318025532623636,-72.22043037414552
Mont Ste-Marie,http://www.montstemarie.com,45.942087,-75.873412
Mont Video,https://www.montvideo.ca/accueil1,48.4192328862364,-77.7769374847412
Val Saint-Come,http://www.valsaintcome.com,46.271412,-73.871179
Massif du Sud,http://www.massifdusud.net,46.621279,-70.490704
Le Massif de Charlevoix,http://www.lemassif.com,47.27852969019212,-70.5938249136405
Mont Alta,https://experiencemontalta.com,46.03973803269116,-74.23671679178904
Mont Blanc,http://www.skimontblanc.com,46.108859,-74.482543
La Vallee du Parc,http://www.valleeduparc.qc.ca/,46.61495,-72.800412
Stoneham,http://www.ski-stoneham.com,47.03,-71.388333333333
Mont Tremblant,http://www.tremblant.ca,46.219128995733,-74.556450416214
Vallee Bleue,http://www.vallee-bleue.com,46.025534,-74.21839
Val D'Irene,http://www.val-direne.com,48.472095,-67.570776
Mont Habitant,http://www.monthabitant.com,45.880801,-74.176905
Belle Neige,http://www.belleneige.com/,45.999465865306,-74.2129039764404
Sommet Gabriel,https://www.sommets.com/fr/montagne-de-ski/sommet-gabriel/,45.924022,-74.154055
Mont Fortin,http://www.skisurfsaglac.qc.ca/emplacement-mont-fortin.html,48.435885,-71.225815
Mont Garceau,http://skigarceau.com,46.336859,-74.219402
Camp Fortune,http://www.campfortune.com,45.509,-75.851
Ski Vorlage,http://www.skivorlage.com,45.645088,-75.935552
Calabogie Peaks,http://www.calabogie.com/,45.274399,-76.782739
Glen Eden,http://www.gleneden.on.ca/,43.5040676154253,-79.9463939666748
Blue Mountain,http://www.bluemountain.ca/,44.49711755234289,-80.31160354614258
Pine Ridge Ski Club,http://www.pineridgeskiclub.ca/,44.563705,-79.664486
Talisman Mountain Resort,,44.391189,-80.54633
Mt. Chinguacousy Ski and Snowboard Hill,http://www.brampton.ca/parks-rec/catalogue/skiing.tml,43.728368,-79.725088
Ski Lakeridge,http://www.ski-lakeridge.com/,44.026957,-79.061474
Mount Pakenham,http://www.mountpakenham.com/,45.320555555556,-76.338055555556
Mount Jamieson (Kamiskotia),https://mountjamieson.ca/,48.533759,-81.541444
Onaping Ski Hill,https://www.facebook.com/Onaping-Ski-Hill-188413781186039/,46.626789,-81.403762
Brimacombe (Oshawa Ski Club),http://www.oshawaskiclub.com,44.022416,-78.57644
Mountain View,http://www.mountainviewmidland.com/,44.734348,-79.920158
Hockley Valley Resort,http://www.hockley.com/,43.97767,-80.046278
North York Ski Centre (Earl Bales),http://www.toronto.ca/parks/recreation_facilities/skiing/northyorkski.htm,43.753089,-79.432847
Boler Mountain (London Ski Club),http://www.bolermountain.com/,42.9447374222506,-81.3376665115356
Mansfield Ski Club,http://www.mansfieldskiclub.com,44.201103,-80.054707
Mount Dufour,http://www.mountdufour.com,46.3858989385776,-82.6354265213013
Heyden Ski Hill & Resort,,46.6436028317519,-84.3119144439697
Alpine Ski Club,http://www.alpineskiclub.com/,44.521374263359,-80.353228398219
Tri-Town Ski Village,http://tritownskivillage.com/,47.362315785482,-79.57011222839355
Horseshoe Resort,http://www.horseshoeresort.com,44.547528,-79.671957
Mount St. Louis Moonstone,http://www.mslm.on.ca/,44.622961,-79.666407
Alice Hill Park (Pembroke Ski Club),http://www.pembrokeskiclub.com/,45.732144,-77.346057
Beaver Valley,https://www.beavervalley.ca/,44.358933,-80.544766
